id;tipo;nombre;latitud;longitud;raiting;direccion;status;price_level
19;bakery;Dulssini;-0.2088658;-78.4921186;3.9;La Mariscal, Edificio Mariana de Jesús, Avenue 12 de Octubre N21-155, Quito;OPERATIONAL;1
21;bakery;En-Dulce;-0.2194294;-78.5098107;4.7;Calle Guayaquil y José Joaquín Olmedo, N6-56, Quito;OPERATIONAL;1
35;bakery;LaRa pastelería boutique;-0.1669908;-78.4931032;4.4;403, Darwin, con, Del las Alcabalas, Quito;OPERATIONAL;1
48;bakery;PAN COLOMBIA;-0.2051996;-78.4911457;4.8;Avenida 6 de Diciembre 23-72, Quito;OPERATIONAL;1
60;bakery;Panadería y Galletería Arenas;-0.1997081;-78.4825063;4.1;Avenida La Coruña 2208, Quito;OPERATIONAL;1
72;bakery;PUNTO CARAMELO;-0.2233275;-78.5076992;4.7;CASA DEL MUCHACHO TRABAJADOR, Avenida Pichincha N 4-272 Y Pedro Fermin Cevallos JUNTO A LA, Quito;OPERATIONAL;1
1;bakery;Azúcar & Sal;-0.1757161;-78.495089;4.5;Calle:, Vasco de Contreras N36-76, Quito;OPERATIONAL;2
8;bakery;CASSAVE Shyris;-0.1858054;-78.4824699;4.1;Avenida de los Shyris N33-164 y, Quito;OPERATIONAL;2
23;bakery;Hansel & Gretel;-0.1983047;-78.4794245;4.4;Avenida Gonzalez Suarez, Quito;OPERATIONAL;2
24;bakery;Hansel & Gretel (Quicentro Shopping, Nivel 3);-0.176116;-78.479403;4.4;El Comercio, Quito;OPERATIONAL;2
25;bakery;Hay Pan!;-0.1969082;-78.4810542;4.6;Whymper N30-96, Quito;OPERATIONAL;2
27;bakery;Jurgen;-0.1963535;-78.4813563;4.5;Avenida La Coruña N31-70, Quito;OPERATIONAL;2
34;bakery;LaBakery Quito;-0.196378;-78.481417;4.5;Avenida La Coruña N30-123 y, Quito;OPERATIONAL;2
39;bakery;Maracuya Sugar Free;-0.1718991;-78.4919386;4.6;Álvarez Del Corro N38-31 Y, Avenida Juan José de Villalengua, Quito;OPERATIONAL;2
40;bakery;María La Panadería;-0.1923747;-78.5003844;4.7;Fray Gaspar de Carvajal 27-80 y, Quito;OPERATIONAL;2
53;bakery;Panaderia y Pasteleria La Unión Tomas de Berlanga;-0.1644624;-78.4832003;4.4;Avenida Tomás de Berlanga E527, Quito;OPERATIONAL;2
61;bakery;Panificadora Ambato;-0.1943568;-78.4832305;3.7;Avenida, Diego de Almagro, Quito;OPERATIONAL;2
62;bakery;Panificadora Ambato;-0.1943577;-78.4845624;4.2;Av. República, Diego de Almagro E7-175 y, Quito;OPERATIONAL;2
63;bakery;Panificadora Ambato;-0.1965096;-78.4833193;3.9;Avenida 6 de Diciembre N30-29 y, Quito;OPERATIONAL;2
64;bakery;Panificadora Ambato;-0.197216;-78.49351;4.1;Av. 9 De Octubre, Javier Ascazubi N26 -143 y, Quito;OPERATIONAL;2
65;bakery;Panificadora Ambato;-0.2006449;-78.4896973;4.1;Avenida Cristóbal Colón, Quito;OPERATIONAL;2
66;bakery;Panificadora Ambato;-0.2018499;-78.4831048;3.9;Avenida La Coruña N26-13 y, Quito;OPERATIONAL;2
67;bakery;Panificadora Ambato;-0.2043013;-78.4899342;4;Avenida 6 de Diciembre N24-117 y, Quito;OPERATIONAL;2
68;bakery;Panificadora Ambato;-0.2051636;-78.4850872;2;Cordero N24-526 Y, Avenue 12 de Octubre, Quito;OPERATIONAL;2
74;bakery;San Honoré;-0.1898311;-78.4991828;4.5;Fray Gaspar de Carvajal N29-86, Quito;OPERATIONAL;2
81;bakery;Tortas y Dulces;-0.1669622;-78.4928784;4.1;Del las Alcabalas 245, Quito;OPERATIONAL;2
11;bakery;Cyrano;-0.1964339;-78.4784753;4.6;Avenida González Suárez, González Suárez N31-126, Quito;OPERATIONAL;3
116;cafe;El Palacio Del Jugo (La Floresta);-0.2127899;-78.4842893;4.6;Avenida, Avenida de los Conquistadores OE5-424, Quito;OPERATIONAL;1
144;cafe;Manulipe - Coffee & Bar;-0.2047811;-78.4883385;4.2;E9-68,, Lizardo García, Quito;OPERATIONAL;1
165;cafe;Skull Donuts;-0.2074536;-78.4911849;4.7;José Tamayo N21-229, Quito;OPERATIONAL;1
86;cafe;Anaconda;-0.2070612;-78.4916731;4.4;Jeronimo Carrion E9-41, Quito;OPERATIONAL;2
89;cafe;Bendito Cafe Gourmet;-0.1921342;-78.4819793;4.1;Pedro Ponce Carrasco, Quito, Pichincha;OPERATIONAL;2
90;cafe;Botánica;-0.2077223;-78.4836209;4.6;Vizcaya E13-18 y, Quito;OPERATIONAL;2
91;cafe;Cafe Traviesa;-0.1993148;-78.4808222;4.7;Humboldt N27- 77, Quito;OPERATIONAL;2
93;cafe;Cafetina;-0.2068414;-78.4829018;4.4;Valladolid N24-459, Quito;OPERATIONAL;2
96;cafe;Café Omi;-0.1901391;-78.4883381;4.7;Avenida Amazonas N31-219, Quito;OPERATIONAL;2
114;cafe;El Español;-0.1896147;-78.4877094;4.3;Avenida Amazonas, Quito;OPERATIONAL;2
